METAR CYYR 230000Z 34003KT 15SM SKC M15/M17 A3025 RMK DENSITY ALT -3994FT SLP249=

METAR CYYR 222300Z 35003KT 15SM SKC M15/M18 A3026 RMK DENSITY ALT -4074FT SLP251=

METAR CYYR 222200Z 15002KT 15SM SKC M12/M16 A3025 RMK DENSITY ALT -3638FT SLP250=

METAR CYYR 222100Z 12005KT 15SM FEW030 M08/M15 A3024 RMK SC1 DENSITY ALT -3088FT SLP244=

METAR CYYR 222000Z 12006KT 15SM FEW030 M07/M14 A3023 RMK SC1 DENSITY ALT -2890FT SLP242=

METAR CYYR 221900Z 35002KT 15SM FEW030 M03/M14 A3023 RMK SC1 DENSITY ALT -2394FT SLP242=

METAR CYYR 221800Z 00000KT 15SM FEW027 M03/M15 A3024 RMK SC1 DENSITY ALT -2406FT SLP245=

METAR CYYR 221700Z 33003KT 15SM FEW027 M03/M15 A3025 RMK SC2 DENSITY ALT -2430FT SLP248=

METAR CYYR 221600Z 32004KT 15SM BKN025 M05/M15 A3026 RMK SC6 DENSITY ALT -2624FT SLP251=

SPECI CYYR 221543Z 30004KT 15SM BKN023 M07/M15 A3027 RMK SC6 DENSITY ALT -3004FT SLP254=

METAR CYYR 221500Z 29003KT 15SM -SN BKN021 M09/M15 A3028 RMK SC7 DENSITY ALT -3267FT PCPN VRY LGT SLP259=

METAR CYYR 221400Z 32010KT 15SM -SN BKN021 M10/M15 A3029 RMK SC7 DENSITY ALT -3372FT SLP261=

METAR CYYR 221300Z 33010KT 15SM -SN BKN022 M11/M14 A3027 RMK SC7 DENSITY ALT -3442FT PCPN VRY LGT SLP257=

METAR CYYR 221200Z 33009KT 15SM -SN BKN023 M11/M14 A3026 RMK SC7 DENSITY ALT -3498FT PCPN VRY LGT SLP253=

METAR CYYR 221100Z 33012KT 15SM -SN OVC022 M11/M14 A3025 RMK SC8 DENSITY ALT -3445FT SLP248=

METAR CYYR 221000Z 32012KT 15SM -SN OVC023 M10/M14 A3025 RMK SC8 DENSITY ALT -3377FT SLP248=

METAR CYYR 220900Z 33013KT 15SM -SN OVC024 M10/M13 A3025 RMK SC8 DENSITY ALT -3309FT SLP247=

SPECI CYYR 220833Z 32011KT 15SM -SN OVC024 M10/M12 A3024 RMK SC8 DENSITY ALT -3256FT SLP245=

METAR CYYR 220800Z 32012KT 15SM -SN OVC026 M08/M12 A3024 RMK SC8 DENSITY ALT -3069FT SLP243=

SPECI CYYR 220737Z 35009KT 15SM -SN OVC026 M08/M12 A3023 RMK SC8 DENSITY ALT -3043FT SLP242=

METAR CYYR 220700Z 36008KT 12SM -SN OVC024 M08/M12 A3023 RMK SC8 DENSITY ALT -3003FT SLP240=

METAR CYYR 220600Z 36009KT 10SM -SN OVC023 M07/M11 A3022 RMK SC8 DENSITY ALT -2937FT SLP236=

METAR CYYR 220500Z 36007KT 12SM -SN OVC019 M07/M11 A3021 RMK SC8 DENSITY ALT -2911FT SLP234=

METAR CYYR 220400Z 36009G17KT 15SM -SN OVC020 M07/M11 A3020 RMK SC8 DENSITY ALT -2913FT SLP231=

SPECI CYYR 220339Z 01009KT 15SM -SN OVC020 M08/M10 A3020 RMK SC8 DENSITY ALT -2938FT SLP230=

SPECI CYYR 220319Z 36008KT 15SM -SN OVC027 M08/M11 A3020 RMK SC8 DENSITY ALT -3020FT SLP230=

METAR CYYR 220300Z 36007KT 15SM OVC027 M08/M11 A3020 RMK SC8 DENSITY ALT -3033FT SLP230=

METAR CYYR 220200Z 34003KT 15SM BKN029 M09/M11 A3020 RMK SC7 DENSITY ALT -3180FT SLP232=

METAR CYYR 220100Z 08002KT 15SM BKN032 M10/M12 A3020 RMK SC7 DENSITY ALT -3301FT SLP231=

METAR CYYR 220000Z 03005KT 15SM FEW025 FEW060 M08/M11 A3020 RMK SC2SC1 DENSITY ALT -2981FT SLP230=
