METAR CYYR 240000Z 14004KT 15SM FEW240 M18/M22 A3014 RMK CI2 DENSITY ALT -4327FT SLP214=

METAR CYYR 232300Z 04005KT 15SM FEW240 M17/M22 A3014 RMK CI1 DENSITY ALT -4132FT SLP212=

METAR CYYR 232200Z 06006KT 15SM FEW240 M14/M21 A3015 RMK CI1 DENSITY ALT -3705FT SLP215=

METAR CYYR 232100Z 04004KT 15SM FEW240 M10/M20 A3014 RMK CI1 DENSITY ALT -3206FT SLP212=

METAR CYYR 232000Z 04008KT 15SM FEW240 M08/M19 A3015 RMK CI1 DENSITY ALT -2964FT SLP216=

METAR CYYR 231900Z 06006KT 15SM SKC M07/M18 A3018 RMK DENSITY ALT -2892FT SLP225=

METAR CYYR 231800Z 07005KT 15SM SKC M07/M19 A3016 RMK DENSITY ALT -2778FT SLP220=

METAR CYYR 231700Z 14004KT 15SM SKC M04/M19 A3019 RMK DENSITY ALT -2434FT SLP228=

METAR CYYR 231600Z 00000KT 15SM SKC M04/M20 A3021 RMK DENSITY ALT -2497FT SLP236=

METAR CYYR 231500Z 14003KT 15SM SKC M09/M19 A3024 RMK DENSITY ALT -3188FT SLP246=

METAR CYYR 231400Z 20004KT 15SM FEW240 M12/M19 A3025 RMK CI1 DENSITY ALT -3629FT SLP248=

METAR CYYR 231300Z 26006KT 15SM FEW240 M16/M22 A3025 RMK CI1 DENSITY ALT -4179FT SLP251=

METAR CYYR 231200Z 26008KT 15SM FEW240 M20/M24 A3025 RMK CI1 DENSITY ALT -4695FT SLP251=

METAR CYYR 231100Z 28008KT 15SM FEW240 M21/M24 A3026 RMK CI1 DENSITY ALT -4889FT SLP252=

METAR CYYR 231000Z 27007KT 15SM FEW250 M20/M24 A3025 RMK CI1 DENSITY ALT -4737FT SLP251=

METAR CYYR 230900Z 28007KT 15SM SKC M21/M24 A3025 RMK DENSITY ALT -4779FT AURBO SLP249=

METAR CYYR 230800Z 27008KT 15SM SKC M20/M23 A3026 RMK DENSITY ALT -4719FT AURBO SLP251=

METAR CYYR 230700Z 27008KT 15SM SKC M19/M22 A3025 RMK DENSITY ALT -4497FT AURBO SLP249=

METAR CYYR 230600Z 28007KT 15SM SKC M18/M21 A3023 RMK DENSITY ALT -4459FT AURBO SLP243=

METAR CYYR 230500Z 28007KT 15SM SKC M18/M21 A3023 RMK DENSITY ALT -4347FT AURBO SLP242=

METAR CYYR 230400Z 27007KT 15SM SKC M17/M20 A3023 RMK DENSITY ALT -4277FT AURBO SLP243=

METAR CYYR 230300Z 27007KT 15SM SKC M16/M19 A3023 RMK DENSITY ALT -4165FT FROIN AURBO SLP242=

METAR CYYR 230200Z 26007KT 15SM SKC M16/M18 A3024 RMK DENSITY ALT -4176FT FROIN SLP246=

METAR CYYR 230100Z 28007KT 15SM SKC M18/M19 A3025 RMK DENSITY ALT -4410FT SLP249=

METAR CYYR 230000Z 34003KT 15SM SKC M15/M17 A3025 RMK DENSITY ALT -3994FT SLP249=
