METAR
METAR 300534066581040 121835Z AUTO 06015G20KT 3SM CLR 00/M2 A2956 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121815Z AUTO 06014G19KT 4SM CLR 00/M2 A2957 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121755Z AUTO 06013G17KT 3SM CLR 00/M2 A2958 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121735Z AUTO 05013G19KT 3SM CLR 00/M2 A2959 RMK AO2 SLPNO MAX WND 04019KT 53.3075° -60.4006°
METAR 300534066581040 121715Z AUTO 06015G22KT 4SM CLR 00/M2 A2959 RMK AO2 SLPNO MAX WND 06022KT 53.3075° -60.4006°
METAR 300534066581040 121655Z AUTO 06015G25KT M1/4SM FG CLR M1/M3 A2961 RMK AO2 SLPNO MAX WND 06025KT 53.3075° -60.4006°
METAR 300534066581040 121635Z AUTO 04006G09KT M1/4SM FG CLR M1/M4 A2962 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121615Z AUTO 05003G05KT M1/4SM FG CLR M1/M4 A2963 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121555Z AUTO 03003G05KT M1/4SM FG CLR M1/M5 A2965 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121535Z AUTO 36001KT M1/4SM FG CLR M1/M5 A2966 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121515Z AUTO 36001KT M1/4SM FG CLR M2/M6 A2967 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121455Z AUTO 33002G03KT M1/4SM FG CLR M3/M6 A2968 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121435Z AUTO 33002G03KT M1/4SM FG CLR M4/M7 A2969 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121415Z AUTO 30002G03KT M1/4SM FG CLR M5/M8 A2970 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121355Z AUTO 27003G04KT M1/4SM FG CLR M6/M9 A2971 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121335Z AUTO 36001G02KT M1/4SM FG CLR M6/M9 A2972 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121315Z AUTO 23002G03KT M1/4SM FG CLR M6/M9 A2973 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121255Z AUTO 26002G03KT M1/4SM FG CLR M6/M9 A2973 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121155Z AUTO 36001G02KT M1/4SM FG CLR M8/M10 A2975 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 121055Z AUTO 27002KT M1/4SM FG CLR M8/M10 A2977 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 120955Z AUTO 28002KT M1/4SM FG CLR M8/M10 A2978 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 120855Z AUTO 36001KT M1/4SM FG CLR M8/M11 A2980 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 120755Z AUTO 36001G08KT M1/4SM FG CLR M9/M11 A2981 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 120655Z AUTO 00000KT M1/4SM FG CLR M9/M11 A2982 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 120555Z AUTO 36001G02KT M1/4SM FG CLR M9/M11 A2983 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 120455Z AUTO 36001G02KT M1/4SM FG CLR M9/M11 A2984 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 120355Z AUTO 00000KT M1/4SM FG CLR M9/M11 A2985 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 120255Z AUTO 36001G02KT M1/4SM FG CLR M9/M11 A2986 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 120155Z AUTO 00000KT M1/4SM FG CLR M9/M11 A2987 RMK AO2 SLPNO 53.3075° -60.4006°
METAR 300534066581040 120055Z AUTO 36001KT M1/4SM FG CLR M9/M11 A2987 RMK AO2 SLPNO 53.3075° -60.4006°
